borough,precinct,crashes,injuries,fatalities,type_of_injury,year
Manhattan,33,0,0,0,BP,2015
Manhattan,33,1,0,0,SB,2018
Manhattan,33,0,0,0,BB,2014
Manhattan,33,25,25,0,BM,2017
Manhattan,33,3,0,0,BP,2016
Manhattan,33,28,28,0,BM,2015
Manhattan,33,0,0,0,BP,2018
Manhattan,33,1,1,0,SB,2017
Manhattan,33,0,0,0,SB,2016
Manhattan,33,2,2,0,SB,2019
Manhattan,33,24,24,0,BM,2014
Manhattan,33,0,0,0,BB,2015
Manhattan,34,4,0,0,BP,2018
Manhattan,34,1,0,0,BB,2015
Manhattan,34,0,0,0,BB,2018
Manhattan,34,48,48,0,BM,2014
Manhattan,34,42,42,0,BM,2016
Manhattan,34,36,36,0,BM,2015
Manhattan,34,1,1,0,SB,2014
Manhattan,34,0,0,0,BB,2017
Manhattan,34,1,0,0,BP,2019
Manhattan,34,4,3,0,SB,2015
Manhattan,34,4,3,0,BP,2014
Manhattan,34,1,1,0,SB,2017
Manhattan,34,1,1,0,SB,2018
Manhattan,34,2,0,0,BP,2015
Manhattan,34,0,0,0,BB,2014
Manhattan,34,52,43,0,BM,2018
Manhattan,34,1,1,0,SB,2016
Manhattan,34,44,31,0,BM,2019
Manhattan,34,1,0,0,BP,2017
Manhattan,34,2,1,0,BP,2016
Manhattan,34,36,36,0,BM,2017
Manhattan,34,0,0,0,BB,2019
Manhattan,34,0,0,0,BB,2016
Manhattan,34,1,1,0,SB,2019
Bronx,40,72,74,0,BM,2017
Bronx,40,97,71,0,BM,2018
Bronx,40,0,0,0,BB,2019
Bronx,40,2,2,0,SB,2015
Bronx,40,79,79,0,BM,2016
Bronx,40,0,0,0,BB,2017
Bronx,40,6,2,0,BP,2018
Bronx,40,5,5,0,SB,2016
Bronx,40,0,0,0,BB,2016
Bronx,40,2,1,0,BP,2014
Bronx,40,3,1,0,BP,2016
Bronx,40,2,2,0,SB,2019
Bronx,40,1,1,0,SB,2017
Bronx,40,0,0,0,BB,2014
Bronx,40,1,1,0,SB,2018
Bronx,40,5,1,0,BP,2017
Bronx,40,43,43,0,BM,2014
Bronx,40,0,0,0,BB,2018
Bronx,40,103,79,0,BM,2019
Bronx,40,1,0,0,BB,2015
Bronx,40,4,0,0,BP,2015
Bronx,40,5,1,0,BP,2019
Bronx,40,4,3,0,SB,2014
Bronx,40,58,59,0,BM,2015
Bronx,41,2,1,0,BP,2016
Bronx,41,0,0,0,SB,2017
Bronx,41,2,0,0,BP,2017
Bronx,41,26,23,0,BM,2018
Bronx,41,35,21,0,BM,2019
Bronx,41,1,1,0,SB,2018
Bronx,41,0,0,0,BP,2015
Bronx,41,23,23,0,BM,2014
Bronx,41,0,0,0,BB,2019
Bronx,41,0,0,0,SB,2019
Bronx,41,21,21,0,BM,2015
Bronx,41,0,0,0,BB,2016
Bronx,41,2,0,0,BP,2018
Bronx,41,0,0,0,BB,2015
Bronx,41,1,1,0,SB,2015
Bronx,41,0,0,0,BB,2018
Bronx,41,1,1,0,SB,2014
Bronx,41,30,30,0,BM,2016
Bronx,41,24,24,0,BM,2017
Bronx,41,1,0,0,BP,2014
Bronx,41,0,0,0,BB,2017
Bronx,41,0,0,0,BB,2014
Bronx,41,0,0,0,SB,2016
Bronx,41,3,0,0,BP,2019
Bronx,42,46,29,0,BM,2018
Bronx,42,0,0,0,BB,2019
Bronx,42,35,35,0,BM,2017
Bronx,42,1,0,0,BP,2014
Bronx,42,31,31,0,BM,2014
Bronx,42,30,30,0,BM,2016
Bronx,42,0,0,0,BB,2016
Bronx,42,0,0,0,BB,2017
Bronx,42,0,0,0,BP,2015
Bronx,42,3,0,0,BP,2017
Bronx,42,1,1,0,SB,2017
Bronx,42,0,0,0,BB,2015
Bronx,42,0,0,0,BP,2018
Bronx,42,0,0,0,BB,2014
Bronx,42,1,1,0,SB,2018
Bronx,42,1,0,0,BP,2016
Bronx,42,1,1,0,SB,2014
Bronx,42,0,0,0,BB,2018
Bronx,42,0,0,0,SB,2019
Bronx,42,1,1,0,SB,2016
Bronx,42,44,35,0,BM,2019
Bronx,42,2,1,0,SB,2015
Bronx,42,0,0,0,BP,2019
Bronx,42,32,32,0,BM,2015
Bronx,43,2,0,0,BP,2017
Bronx,43,52,53,0,BM,2016
Bronx,43,5,2,0,SB,2018
Bronx,43,0,0,0,BB,2016
Bronx,43,3,2,0,SB,2015
Bronx,43,0,0,0,BB,2017
Bronx,43,4,0,0,BP,2016
Bronx,43,2,2,0,SB,2014
Bronx,43,0,0,0,BP,2015
Bronx,43,2,1,0,SB,2016
Bronx,43,1,1,0,BB,2015
Bronx,43,1,1,0,SB,2017
Bronx,43,0,0,0,BB,2018
Bronx,43,66,59,0,BM,2019
Bronx,43,44,44,0,BM,2017
Bronx,43,2,0,0,BP,2019
Bronx,43,61,46,0,BM,2018
Bronx,43,0,0,0,BP,2014
Bronx,43,0,0,0,BB,2019
Bronx,43,32,32,0,BM,2015
Bronx,43,0,0,0,BP,2018
Bronx,43,3,3,0,SB,2019
Bronx,43,0,0,0,BB,2014
Bronx,43,56,56,1,BM,2014
Bronx,44,55,55,0,BM,2017
Bronx,44,0,0,0,SB,2014
Bronx,44,0,0,0,BB,2014
Bronx,44,47,48,0,BM,2016
Bronx,44,3,0,0,BP,2015
Bronx,44,0,0,0,BB,2016
Bronx,44,0,0,0,BP,2016
Bronx,44,0,0,0,SB,2015
Bronx,44,6,0,0,BP,2019
Bronx,44,0,0,0,BP,2018
Bronx,44,0,0,0,BB,2015
Bronx,44,0,0,0,BP,2014
Bronx,44,0,0,0,BB,2018
Bronx,44,7,1,0,BP,2017
Bronx,44,2,2,0,SB,2018
Bronx,44,0,0,0,BB,2017
Bronx,44,0,0,0,SB,2017
Bronx,44,67,58,0,BM,2018
Bronx,44,88,76,0,BM,2019
Bronx,44,0,0,0,SB,2016
Bronx,44,0,0,0,SB,2019
Bronx,44,42,42,0,BM,2014
Bronx,44,0,0,0,BB,2019
Bronx,44,60,59,1,BM,2015
Bronx,45,0,0,0,BB,2014
Bronx,45,19,19,0,BM,2017
Bronx,45,1,0,0,BP,2018
Bronx,45,26,25,1,BM,2015
Bronx,45,2,2,0,SB,2016
Bronx,45,34,28,0,BM,2019
Bronx,45,0,0,0,BB,2019
Bronx,45,0,0,0,BB,2017
Bronx,45,3,3,0,SB,2014
Bronx,45,0,0,0,BP,2019
Bronx,45,1,0,0,BP,2014
Bronx,45,2,0,0,BP,2016
Bronx,45,24,19,0,BM,2018
Bronx,45,31,31,0,BM,2014
Bronx,45,1,1,0,BB,2015
Bronx,45,0,0,0,BP,2017
Bronx,45,1,0,0,SB,2018
Bronx,45,1,1,0,SB,2015
Bronx,45,1,0,0,BP,2015
Bronx,45,2,2,0,SB,2017
Bronx,45,0,0,0,BB,2018
Bronx,45,0,0,0,SB,2019
Bronx,45,30,30,1,BM,2016
Bronx,45,0,0,0,BB,2016
Bronx,46,0,0,0,BB,2017
Bronx,46,62,49,1,BM,2018
Bronx,46,55,42,0,BM,2019
Bronx,46,33,35,0,BM,2016
Bronx,46,3,0,0,BP,2015
Bronx,46,2,0,0,BP,2018
Bronx,46,0,0,0,BB,2015
Bronx,46,42,45,0,BM,2017
Bronx,46,0,0,0,SB,2018
Bronx,46,0,0,0,BP,2017
Bronx,46,5,0,0,BP,2019
Bronx,46,0,0,0,BP,2016
Bronx,46,34,34,0,BM,2014
Bronx,46,1,1,0,SB,2017
Bronx,46,0,0,0,SB,2016
Bronx,46,43,45,0,BM,2015
Bronx,46,0,0,0,BB,2014
Bronx,46,0,0,0,BB,2016
Bronx,46,0,0,0,SB,2019
Bronx,46,1,1,0,BB,2019
Bronx,46,2,2,0,SB,2014
Bronx,46,0,0,0,BB,2018
Bronx,46,3,3,0,SB,2015
Bronx,46,0,0,0,BP,2014
Bronx,47,0,0,0,BB,2018
Bronx,47,33,33,0,BM,2016
Bronx,47,1,0,0,BP,2017
Bronx,47,3,2,0,SB,2019
Bronx,47,1,1,0,SB,2016
